id,human_readable_id,title,type,description,text_unit_ids,frequency,degree,x,y
35c23eb3-f923-4a33-8dbf-fda0edc07a86,0,ADVISORMAPPING,ORGANIZATION,"AdvisorMapping is a database table used to map advisors to submissions, including details such as AdvisorID, SubmissionID, AdvisorName, Region, and OfficeCode",['61b00005315b4258a3d410d065f5021e4af063073063e59fe8a566278023311236e164ab67e22089de1bc4afe7c2f87e16e99bad6e6af6f6ae3e309bfc56ab10'],1,1,0,0
540d81a7-4dad-4a1c-9f71-db14cea05188,1,JANE DOE,PERSON,"Jane Doe is an advisor operating in the West region, identified by AdvisorID ADV001 and linked to SubmissionID SUB1001",['61b00005315b4258a3d410d065f5021e4af063073063e59fe8a566278023311236e164ab67e22089de1bc4afe7c2f87e16e99bad6e6af6f6ae3e309bfc56ab10'],1,3,0,0
88c64200-2528-4b26-ac90-23dbf1eb126a,2,WEST,GEO,The West is a region where advisors like Jane Doe operate,['61b00005315b4258a3d410d065f5021e4af063073063e59fe8a566278023311236e164ab67e22089de1bc4afe7c2f87e16e99bad6e6af6f6ae3e309bfc56ab10'],1,1,0,0
1d79851e-2cc0-4284-a1eb-2a60d8a0b4be,3,OFFC01,ORGANIZATION,OFFC01 is an internal office mapping code associated with advisors in the database,['61b00005315b4258a3d410d065f5021e4af063073063e59fe8a566278023311236e164ab67e22089de1bc4afe7c2f87e16e99bad6e6af6f6ae3e309bfc56ab10'],1,1,0,0
d78cde2d-2ac3-44ec-8c6f-db9454d22ab3,4,SUBMISSIONLOG,ORGANIZATION,"SubmissionLog is a database table used for auditing and tracking application submissions, including details such as submission ID, decision status, and dates",['a7dd7e14062cd52735f8f3b209bff150147e65accfc11f8ff56002ecb64deeb78fbbcca64e906643927eb05e366d8738695fa3cbedeca1ad1df8b40e352b4749'],1,6,0,0
61afc6ad-6d48-452e-b2b9-f749d4066e32,5,SUBMISSIONID,EVENT,SubmissionID is a unique identifier for each application submission in the SubmissionLog table,['a7dd7e14062cd52735f8f3b209bff150147e65accfc11f8ff56002ecb64deeb78fbbcca64e906643927eb05e366d8738695fa3cbedeca1ad1df8b40e352b4749'],1,1,0,0
2270dbd1-815d-4f37-94eb-334d0ada2418,6,DECISIONSTATUS,EVENT,"DecisionStatus indicates the current status of an application, such as Approved, Rejected, or Pending",['a7dd7e14062cd52735f8f3b209bff150147e65accfc11f8ff56002ecb64deeb78fbbcca64e906643927eb05e366d8738695fa3cbedeca1ad1df8b40e352b4749'],1,1,0,0
c64db24d-8173-4b11-8259-ad6eade9deee,7,ISACCELERATED,EVENT,IsAccelerated is a boolean field indicating whether the submission underwent instant underwriting,['a7dd7e14062cd52735f8f3b209bff150147e65accfc11f8ff56002ecb64deeb78fbbcca64e906643927eb05e366d8738695fa3cbedeca1ad1df8b40e352b4749'],1,1,0,0
ec6b8a3b-5890-4408-8fe3-d8a3788e8aff,8,SUBMITTEDON,EVENT,SubmittedOn is the date when the application was submitted,['a7dd7e14062cd52735f8f3b209bff150147e65accfc11f8ff56002ecb64deeb78fbbcca64e906643927eb05e366d8738695fa3cbedeca1ad1df8b40e352b4749'],1,1,0,0
9a65d90f-2bf5-4155-909c-a0c0a7dc6e2f,9,DECISIONDATE,EVENT,DecisionDate is the date when the final decision on the application was made,['a7dd7e14062cd52735f8f3b209bff150147e65accfc11f8ff56002ecb64deeb78fbbcca64e906643927eb05e366d8738695fa3cbedeca1ad1df8b40e352b4749'],1,1,0,0
